"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16633","All Menu Elements are displayed and loading","firefox","Mon Mar 17 09:18:49 UTC 2025","passed","Mon Mar 17 09:19:06 UTC 2025","","TC04MenuTest.spec.ts","",""
"","3943","User authentication with valid data","chromium","Mon Mar 17 09:18:01 UTC 2025","passed","Mon Mar 17 09:18:05 UTC 2025","","TC01LoginTest.spec.ts","",""
"","4619","User authentication with valid data","firefox","Mon Mar 17 09:18:33 UTC 2025","passed","Mon Mar 17 09:18:37 UTC 2025","","TC01LoginTest.spec.ts","",""
"","3420","User authentication with invalid data","webkit","Mon Mar 17 09:19:37 UTC 2025","passed","Mon Mar 17 09:19:40 UTC 2025","","TC02InvalidLoginTest.spec.ts","",""
"","9643","All Menu Elements are displayed and loading","chromium","Mon Mar 17 09:18:12 UTC 2025","passed","Mon Mar 17 09:18:21 UTC 2025","","TC04MenuTest.spec.ts","",""
"","3545","User authentication with invalid data","chromium","Mon Mar 17 09:18:05 UTC 2025","passed","Mon Mar 17 09:18:09 UTC 2025","","TC02InvalidLoginTest.spec.ts","",""
"","18039","Verify Search Functionality with Random Topics","firefox","Mon Mar 17 09:19:06 UTC 2025","passed","Mon Mar 17 09:19:24 UTC 2025","","TC05SearchTest.spec.ts","",""
"","10603","Verify Search Functionality with Random Topics","chromium","Mon Mar 17 09:18:21 UTC 2025","passed","Mon Mar 17 09:18:32 UTC 2025","","TC05SearchTest.spec.ts","",""
"","3141","Logout","chromium","Mon Mar 17 09:18:09 UTC 2025","passed","Mon Mar 17 09:18:12 UTC 2025","","TC03LogoutTest.spec.ts","",""
"","30841","All Menu Elements are displayed and loading","webkit","Mon Mar 17 09:19:48 UTC 2025","passed","Mon Mar 17 09:20:19 UTC 2025","","TC04MenuTest.spec.ts","",""
"","21346","Verify Search Functionality with Random Topics","webkit","Mon Mar 17 09:20:19 UTC 2025","passed","Mon Mar 17 09:20:41 UTC 2025","","TC05SearchTest.spec.ts","",""
"","8102","Logout","webkit","Mon Mar 17 09:19:40 UTC 2025","passed","Mon Mar 17 09:19:48 UTC 2025","","TC03LogoutTest.spec.ts","",""
"","4501","User authentication with invalid data","firefox","Mon Mar 17 09:18:37 UTC 2025","passed","Mon Mar 17 09:18:42 UTC 2025","","TC02InvalidLoginTest.spec.ts","",""
"","7351","Logout","firefox","Mon Mar 17 09:18:42 UTC 2025","passed","Mon Mar 17 09:18:49 UTC 2025","","TC03LogoutTest.spec.ts","",""
"","11906","User authentication with valid data","webkit","Mon Mar 17 09:19:25 UTC 2025","passed","Mon Mar 17 09:19:37 UTC 2025","","TC01LoginTest.spec.ts","",""
